"filename", "language", "YAML", "Dart", "Markdown", "JSON", "C++", "XML", "Swift", "Groovy", "HTML", "Properties", "Kotlin", "comment", "blank", "total"
"c:\Users\Admin\Desktop\programs\flutter_programs\lorn_sled\icons\Location point.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Admin\Desktop\programs\flutter_programs\lorn_sled\icons\Lock.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Admin\Desktop\programs\flutter_programs\lorn_sled\icons\Log out.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Admin\Desktop\programs\flutter_programs\lorn_sled\icons\Mail.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Admin\Desktop\programs\flutter_programs\lorn_sled\icons\Parcel.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Admin\Desktop\programs\flutter_programs\lorn_sled\icons\Phone.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Admin\Desktop\programs\flutter_programs\lorn_sled\icons\Plus Icon.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Admin\Desktop\programs\flutter_programs\lorn_sled\icons\Question mark.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Admin\Desktop\programs\flutter_programs\lorn_sled\icons\Search Icon.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Admin\Desktop\programs\flutter_programs\lorn_sled\icons\Settings.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Admin\Desktop\programs\flutter_programs\lorn_sled\icons\Shop Icon.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
